,Location,Latitude,Longitude,Frequency Of Monitoring,Sampling Month,Dissolved Oxygen,Bio Chemical Oxygen Demand,Fecal Coliform,pH
71,"1061-RIVER GANGA AT HARIDWAR D/S, UPPER GANGA CANAL D/S BALKUMARI MANDIR, AJE",29.94525,78.164675,FORTNIGHTLY,Jun-2021,10.2,1,20,7.8
72,2725-RIVER GANGA AFTER CONFLUENCE OF SONG NEAR SATYANARAYAN TEMPLE D/S RAIWAL,30.01961,78.229390,FORTNIGHTLY,Jun-2021,8.2,1.6,94,8.1
73,"2727-RIVER GANGA AT UPPER GANGA CANAL D/S ROORKEE, HARIDWAR",29.85166,77.879742,FORTNIGHTLY,Jun-2021,9.2,1.2,84,7.6
74,"3997-RIVER GANGA U/S HARIDWAR AT ABINDUGHAT, DUDHIYABAD, HARIDWAR",29.94544,78.165028,FORTNIGHTLY,Jun-2021,8.8,1.4,84,8.2
75,10147-RIVER GANGA D/S RISHIKESH,30.03050,78.245833,FORTNIGHTLY,Jun-2021,8.9,1,47,8
76,10148-RIVER GANGA AT HAR-KI-PAURI GHAT,29.94355,78.166796,FORTNIGHTLY,Jun-2021,9.8,1,26,7.94
77,30005-RIVER GANGA AT SULTANPUR (UTTARAKHAND),29.64007,78.103486,FORTNIGHTLY,Jun-2021,9,1.2,40,8
78,"1052-RIVER GANGA AT ULUBERIA , HOWRAH,WEST BENGAL",22.45347,88.115051,QUARTERLY</,Jun-2021,7.3,1.3,24000,7.6
79,"1053-RIVER GANGA AT DAKSHMINESHWAR, KOLKATA, WEST BENGAL",22.65306,88.357589,FORTNIGHTLY,Jun-2021,5.3,3.2,27000,7.41
80,1054-RIVER GANGA AT PALTA WEST BENGAL,22.78018,88.333800,FORTNIGHTLY,Jun-2021,4.6,2.3,110000,7.46
81,"1080-RIVER GANGA AT BAHARAMPORE, MURSHIDABAD, WEST BENGAL",24.10031,88.244054,FORTNIGHTLY,Mar-2021,6.5,1.9,79000,7.94
82,1335-RIVER GANGA AT PATIKALI NEAR DURGA CHAK WEST BENGAL,22.06648,88.068869,FORTNIGHTLY,Mar-2021,7.5,2.6,49000,8.08
83,"1469-RIVER GANGA AT DIAMOND HARBOUR, 24 PARGANAS (S)WEST BENGAL",22.18338,88.193783,FORTNIGHTLY,Jan-2021,6,1.3,8400,6.57
84,"1470-RIVER GANGA AT GARDEN REACH, KOLKATA, WEST BENGAL",22.54971,88.296125,FORTNIGHTLY,Jun-2021,5.6,2.8,6800,7.17
85,1471-RIVER GANGA AT HOWRAH-SHIVPUR WEST BENGAL,22.55829,88.324394,FORTNIGHTLY,Jun-2021,4.7,2.2,79000,7.28
86,"1472-RIVER GANGA AT SERAMPORE, HOOGHLY,WEST BENGAL",22.76130,88.340319,FORTNIGHTLY,Jun-2021,4.4,2.4,49000,7.39
87,"2506-RIVER TRIBENI ON GANGA, NEAR BURNING GHAT, HOOGHLY",22.98440,88.401970,FORTNIGHTLY,May-2021,6.2,3.1,130000,7.94
88,"2511-RIVER NABADIP ON GANGA, GHOSHPARA NEAR MONIPURGHAT,NADIA",23.38672,88.364884,FORTNIGHTLY,May-2021,6.3,3.3,11000,8.6
89,"10159-RIVER GANGA AT BEHRAMPORE(KHAGRA), MURSHIDABAD",24.10016,88.245205,FORTNIGHTLY,Mar-2021,7.4,2.6,6800,8.1
90,"10160-RIVER GANGA AT BEHRAMPORE, (GORA BAZAR),MURSHIDABAD",24.10100,88.243238,FORTNIGHTLY,Mar-2021,7.7,3.1,220000,7.77
91,"10161-RIVER GANGA AT PALTA, SHITALTALA,",22.77497,88.334278,FORTNIGHTLY,Mar-2021,6.3,1.9,49000,8.08
